"What (City, State) are you located in?",What's your highest level of education?,Department,How's the employee turnover?,How many years of experience do you have?,What is/was your length of orientation/training?,What is the Nurse - Patient Ratio?,What is your hourly rate ($/hr)?,What's Your Shift Length?,Which Shift?,Other,Full-Time/Part-Time?,"Do you have any special skills that set you apart from other nurses? (examples: CCRN, CNOR, Special Procedures, etc.)",Would you recommend your department to another nurse?,How did you hear about Project Nurse?,Start Date (UTC),Submit Date (UTC)
"Ann Arbor, mi ",Bachelors,Cardiac Stepdown unit,Medium,5,8 weeks,"3:1 days, 4:1 nights ",$30 ,12-Hour,,Rotating days and nights,Part-Time,,Yes,,3/1/17 16:58,3/1/17 17:02
"San Jose, CA",Bachelors,ICU,Medium,"1, 3 total in nursing",1.5 weeks,"2:1 in ICU, 3:1 Stepdown, 4:1 Tele, 5:1 Med/Surg",27.50 before tax free per diems,12-Hour,Day Shift,,Traveler,"CCRN, ACLS",No,,3/2/17 0:20,3/2/17 0:25
"San Francisco, CA",Bachelors,Family Community Medicine,Medium,2 months,Minimal,"See 4-8 patients a day, primary care appts ",$36/hr,8-Hour,Day Shift,,Per-Diem,Spanish speaking,Yes,,3/2/17 1:06,3/2/17 1:10
"Toledo, OH",Bachelors,Stepdown,High,2,4 months (new graduate orientation),3-4:1,26.5,12-Hour,Night Shift,,Full-Time,"PCCNACLS",No,,3/2/17 1:06,3/2/17 1:11
"Chicago, IL",Bachelors,Surgery,High,4,12 weeks,1:01,28,8-Hour,Day Shift,,Full-Time,"CNOR, ACLS",No,,3/2/17 1:13,3/2/17 1:16
"Lubbock, TX",Bachelors,Impatient Oncology / Stem Cell ,Medium,2,8 weeks,3-4:1,26,12-Hour,Day Shift,,Full-Time,,Yes,,3/2/17 1:38,3/2/17 1:43
"Bronx, NY",Bachelors,Telemetry,High,0,6 months,4:01,25,12-Hour,Day Shift,,Full-Time,ACLS ,No,,3/2/17 2:29,3/2/17 2:34
Sparks Nevada ,Masters,ICU ,Medium,20+,4 weeks,3:01,45,12-Hour,Day Shift,,Full-Time,CFRN,No,,3/2/17 3:01,3/2/17 3:05
"Bethlehem, PA",Bachelors,Labor & Delivery,Medium,5,6 months,1:01,28.9,12-Hour,Night Shift,,Part-Time,,Yes,,3/2/17 3:07,3/2/17 3:10
"Atlanta, GA",Bachelors,Orthopedics/ENT/General Surgery/Urology,Low,2,4 months,5:01,28.5,12-Hour,Night Shift,,Full-Time,Psych nurse experience ,Yes,,3/2/17 3:38,3/2/17 3:42
"Lisbon, ct",Associates,Nursing,Low,23,Depends on experience and position,"Short term 20 to 1, long term 32 to 1, ridiculous. ...",41.00/hr,8-Hour,Day Shift,,Full-Time,RAC Certified,Yes,,3/2/17 3:40,3/2/17 3:47
"Canton, MS",Associates,Medication nurse,High,16 years,3 days,30:01:00,$19.00 ,12-Hour,Day Shift,,Per-Diem,"No",No,,3/2/17 3:57,3/2/17 4:03
"memphis,tn",Bachelors,skilled and ICF,Medium,53 years,I think it was about 3-4 days,15-20:1,$28/hr,12-Hour,Day Shift,,Part-Time,no,Yes,,3/2/17 4:15,3/2/17 4:24
"San Jose, CA",Masters,3 Surgical,High,1.5,30ish shifts ,5:1 (4:1 for telemetry patients),55.1,8-Hour,Mid Shift,,Part-Time,,Yes,,3/2/17 4:35,3/2/17 4:41
"Portland, OR",Bachelors,14K Adult Bone Marrow Transplant and Hematological Malignancies,Low,0.5,8 weeks,3:01,$37.02 ,12-Hour,Day Shift,,Full-Time,Not yet,Yes,,3/2/17 5:34,3/2/17 5:46
Akron oh,Bachelors,ED,Medium,4,1 year,3:01,24,12-Hour,Mid Shift,,Full-Time,"Cpen, credentialed for procedures",Yes,,3/2/17 6:59,3/2/17 7:04
"sacramento, ca",Bachelors,Med-Surg,Medium,3,3 weeks,4:01,71/hr,12-Hour,Day Shift,,Per-Diem,,Yes,,3/2/17 7:10,3/2/17 7:12
Brooklyn NY,Bachelors,Emergency department,High,2,3 months ,"1:18 on average, no limits. Worst I had was 1:32.",46,12-Hour,Night Shift,,Full-Time,"CEN, CPEN",No,,3/2/17 7:07,3/2/17 7:12
"Knoxville, TN",Bachelors,,High,<1 year,6 months,2/3:1,18.65,12-Hour,Night Shift,,Full-Time,,Yes,,3/2/17 8:04,3/2/17 8:07
"Towson, Md",Associates,Telemetry ,High,8,3 months,5:01,30,12-Hour,Night Shift,,Full-Time,No,No,,3/2/17 8:08,3/2/17 8:12
"Lakewood, Washington ",Bachelors,Psychology ,Medium,3,10 weeks ,15:01,32,8-Hour,Mid Shift,,Full-Time,Nope,Yes,,3/2/17 8:30,3/2/17 8:37
"Columbus, GA",Bachelors,Interventional Post Holding,Low,3,2 weeks,1:1 to 1:6 depending on overnight stays,22,12-Hour,Night Shift,,Full-Time,,Yes,,3/2/17 8:59,3/2/17 9:02
"Asheville, NC",Associates,Neuro,High,10,4 months,4-5:1,30.98,12-Hour,Night Shift,,Full-Time,"Certified in lumbar drain specimen collectionACLS InstructorBLS Instructor",Yes,,3/2/17 9:09,3/2/17 9:15
"Macon, GA",Bachelors,Flex Pool,High,9,3 months,5:01,28,12-Hour,Night Shift,,Full-Time,CCRN,Yes,,3/2/17 10:38,3/2/17 10:42
"Tampa, FL",Bachelors,Trauma ICU,High,3,13 weeks,3:01,23,12-Hour,Night Shift,,Full-Time,,No,,3/2/17 11:36,3/2/17 11:38
"Houston, TX",Bachelors,Medical-Surgical,Medium,2,3 months,4-5:1,32,12-Hour,Day Shift,,Full-Time,,Yes,,3/2/17 12:10,3/2/17 12:12
"Austin,TX",Bachelors,Medical/Surgical,High,1,10 weeks,5:01,24/hr,12-Hour,Day Shift,,Full-Time,,Yes,,3/2/17 12:10,3/2/17 12:13
"Moreno Valley, Ca",Associates,Med surg,Medium,4,1 week,5:01,21,12-Hour,Night Shift,,Traveler,"BLS, ACLS, IV CERT ",Yes,,3/2/17 11:59,3/2/17 12:20
"Minneapolis, Minnesota ",Masters,NICU,Medium,1,6 months,3:01,$35.52 ,8-Hour,,Day/Night,Full-Time,,Yes,,3/2/17 12:24,3/2/17 12:32
"Denver, CO",Bachelors,Med/tele,Medium,6 months,5 weeks,5:1 or 6:1 on nights ,$24/hr + $4/hr for nights ,12-Hour,Night Shift,,Full-Time,,Yes,,3/2/17 12:45,3/2/17 12:52
